predicted_noise,date,year,month,borough,predicted_noise_adjusted,noise_reduction_coef,total_noise_reduction
4339224.718241115,2024-03-01,2024,3,Brooklyn,867844.9436482231,1.301039617508147,3210124.064700652
4385238.326192513,2024-04-01,2024,4,Brooklyn,877047.6652385027,1.301039617508147,3244164.5672741984
4180739.790597465,2024-05-01,2024,5,Brooklyn,836147.958119493,1.301039617508147,3092878.1709854617
236.78586414910097,2023-06-01,2023,6,EWR,47.3571728298202,1.301039617508147,175.1723061243245
375.5667838779872,2023-07-01,2023,7,EWR,75.11335677559744,1.301039617508147,277.8413309089109
421.50099071978707,2023-08-01,2023,8,EWR,84.30019814395742,1.301039617508147,311.82309317071173
311.60317109297904,2023-09-01,2023,9,EWR,62.32063421859581,1.301039617508147,230.521556986352
327.3997352190954,2023-10-01,2023,10,EWR,65.47994704381908,1.301039617508147,242.20772996275133
68.84678172367632,2023-11-01,2023,11,EWR,13.769356344735264,1.301039617508147,50.93230361158857
182.3470584411268,2023-12-01,2023,12,EWR,36.46941168822536,1.301039617508147,134.89890900753093
300.12937866950233,2024-01-01,2024,1,EWR,60.02587573390047,1.301039617508147,222.03333626407692
1049.8800760117338,2024-02-01,2024,2,EWR,209.97601520234676,1.301039617508147,776.6929615069877
525.5026225570414,2024-03-01,2024,3,EWR,105.10052451140828,1.301039617508147,388.7626763468131
393.2839053876223,2024-04-01,2024,4,EWR,78.65678107752447,1.301039617508147,290.9483170200979
476.08930813935274,2024-05-01,2024,5,EWR,95.21786162787055,1.301039617508147,352.20709786708437
2100077.9990563374,2023-06-01,2023,6,Manhattan,420015.5998112675,1.301039617508147,1553621.063730431
1698502.26865545,2023-07-01,2023,7,Manhattan,339700.45373109006,1.301039617508147,1256538.5202658088
1188974.083871477,2023-08-01,2023,8,Manhattan,237794.8167742954,1.301039617508147,879593.606410028
2543685.901652728,2023-09-01,2023,9,Manhattan,508737.18033054564,1.301039617508147,1881798.675143302
3270338.3708623773,2023-10-01,2023,10,Manhattan,654067.6741724755,1.301039617508147,2419370.4142325767
3209320.8035631957,2023-11-01,2023,11,Manhattan,641864.1607126392,1.301039617508147,2374230.101417436
2644543.537747373,2023-12-01,2023,12,Manhattan,528908.7075494746,1.301039617508147,1956412.3551804763
