borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips,co2_month,noise_month,cost_month
EWR,2014,5,165.9604938271605,11.48148148148148,310.0,27.0,30171.011235955055,1893.3370786516853,3912.468772961058
Manhattan,2014,5,15.340772703299034,2.9046771573556533,1240982.65,427236.0,120779682.18314606,29959324.4494382,15662276.986811167
Queens,2014,5,15.939841637018132,3.053145317626944,1214281.69,397715.0,118180988.75033706,27889205.786516853,15325287.721623806
Staten Island,2014,5,21.849676375404528,7.243009708737864,746.03,103.0,72607.99842696628,7222.730337078651,9415.54541513593
Unknown,2014,5,300.74076730418943,4.228148907103825,12380.02,2928.0,1204895.8791011237,205321.88764044942,156246.58599559148
Bronx,2014,6,15.908487313334426,2.9570985825799165,306470.74,103639.0,29827523.032359548,7267539.314606741,3864920.2914041146
Brooklyn,2014,6,18.40611634963231,3.4639360604480336,1547676.24,446797.0,150628894.27955055,31331012.101123594,19517834.898365907
EWR,2014,6,109.68928571428572,10.94,153.16,14.0,14906.426067415729,981.7303370786516,1931.5096502571637
Manhattan,2014,6,14.826561406280794,2.905769995310812,1140200.9,392392.0,110971013.43595505,27515937.887640446,14379139.733493753
Queens,2014,6,15.603477407012376,3.02629972386398,1132111.49,374091.0,110183704.7907865,26232605.96629213,14277123.714429464
Staten Island,2014,6,25.5715,9.0597,905.97,100.0,88174.29370786517,7012.359550561797,11425.240257531226
Unknown,2014,6,314.75311942959,4.471386809269162,12542.24,2805.0,1220684.0773033707,196696.6853932584,158170.9166612785
Bronx,2014,7,15.344037970138432,2.961016116043883,283129.4,95619.0,27555807.44719101,6705148.078651684,3557601.0027112425
Brooklyn,2014,7,17.559913679321028,3.428073341244757,1458799.47,425545.0,141978887.74314606,29840745.4494382,18330228.00608707
EWR,2014,7,22.13205128205129,15.599230769230768,202.79,13.0,19736.707640449436,911.6067415730336,2548.11371528288
Manhattan,2014,7,14.259611390542894,2.8844632916975548,1085593.72,376359.0,105656323.62516853,26391646.280898873,13640792.18480676
Queens,2014,7,14.97102162818455,3.022563924839206,1077108.79,356356.0,104830520.66269663,24988963.999999996,13534176.639137767
Staten Island,2014,7,48.28333333333333,10.013333333333332,600.8,60.0,58473.36629213482,4207.4157303370785,7549.221954445262
Unknown,2014,7,265.4363012867201,4.248903860160233,11667.49,2746.0,1135548.2964044942,192559.39325842695,146605.31235231447
Bronx,2014,8,15.912869831870571,3.0062049275668814,284296.8,94570.0,27669425.635955054,6631588.426966292,3436555.0695958855
Brooklyn,2014,8,16.727381844662677,3.4309153046188965,1611281.34,469636.0,156819314.23685393,32932564.898876403,19477029.13828876
EWR,2014,8,2.33030303030303,5.499090909090909,120.98,22.0,11774.480449438202,1542.7191011235955,1462.3957509184424
Manhattan,2014,8,13.963546870981068,2.913446792258708,1121376.93,384897.0,109138954.69280897,26990361.53932584,13555107.105389051
Queens,2014,8,15.091579906113322,3.162033537318618,1183264.57,374210.0,115162221.4083146,26240950.6741573,14303199.531991553
Staten Island,2014,8,14.78523592085236,5.125799086757991,1122.55,219.0,109253.12471910112,15357.067415730335,13569.287073842763
Unknown,2014,8,106.40555014605648,4.341616358325219,8917.68,2054.0,867920.7208988764,144033.8651685393,107796.14266862601
Bronx,2014,9,15.911196603374814,2.9948505703035977,265454.57,88637.0,25835589.72292135,6215545.13483146,3115053.7914757533
Brooklyn,2014,9,16.70408859741621,3.3794227101159926,1592799.65,471323.0,155020568.18314606,33050863.40449438,18691170.352779206
EWR,2014,9,147.81410256410257,9.10923076923077,118.42,13.0,11525.32629213483,911.6067415730336,1389.633902277737
Manhattan,2014,9,13.853953147332986,2.8260307017000623,1140843.16,403691.0,111033521.93168537,28308264.393258423,13387555.584509918
Queens,2014,9,14.579053762758308,3.061982824059013,1157695.9,378087.0,112673729.05393258,26512819.85393258,13585318.959364437
Staten Island,2014,9,38.289550264550265,5.87047619047619,1479.36,252.0,143979.9586516854,17671.146067415728,17359.979814842027
Unknown,2014,9,32.20759623259623,3.9322113022113023,6401.64,1628.0,623045.0076404494,114161.21348314606,75121.90486554005
Bronx,2014,10,14.424028434992582,2.8282383515067515,261190.64,92351.0,25420599.14247191,6475984.168539325,2937770.989801617
Brooklyn,2014,10,16.556498053411563,3.300647168376246,1731496.4,524593.0,168519346.25617975,36786347.337078646,19475199.77310801
EWR,2014,10,9.79404761904762,7.933571428571429,111.07,14.0,10809.981348314606,981.7303370786516,1249.2722703894194
Manhattan,2014,10,13.999968712594107,2.791062594434548,1280123.65,458651.0,124589112.99213481,32162257.202247187,14398334.191182954
Queens,2014,10,14.17367598270921,2.905248436290289,1140763.23,392656.0,111025742.67707865,27534450.51685393,12830862.251903014
Staten Island,2014,10,16.948342541436464,5.412430939226519,979.65,181.0,95345.2617977528,12692.370786516853,11018.72314474651
Unknown,2014,10,29.208833522083808,4.180713476783692,7383.14,1766.0,718570.322247191,123838.26966292133,83042.69443056577
Bronx,2014,11,13.339954919463064,2.824930760180898,261727.01,92649.0,25472801.8047191,6496880.999999999,2754681.587873255
