pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips,co2_month,noise_month,cost_month
Staten Island,2013,7,18.32765432098765,4.8948888888888895,660.8100000000001,135.0,64313.89011235956,9466.685393258425,8208.197278104335
Unknown,2013,7,12.659796867715,2.9002058873394647,547396.46,188744.0,53275821.75865168,13235407.910112359,6799440.282404849
Bronx,2013,8,14.109841471531434,4.536282446905065,24990.38,5509.0,2432209.7928089886,386310.8876404494,313929.4840720059
Brooklyn,2013,8,14.019939969445648,106.75277848298254,34985234.07,327722.0,3404967387.801573,22981044.96629213,439484973.0869823
EWR,2013,8,4.639017341040463,8.104624277456647,1402.1,173.0,136460.5640449438,12131.38202247191,17613.198743570905
Manhattan,2013,8,11.91715224992968,82.04265886963137,856465221.33,10439267.0,83356199406.2973,732038936.483146,10758927437.587713
Queens,2013,8,26.38851071425141,120.52537564712928,75290032.71000001,624682.0,7327665880.157529,43804947.88764045,945794386.6565754
Staten Island,2013,8,16.301190476190477,7.547142857142857,845.28,112.0,82267.58831460674,7853.842696629213,10618.418539309332
Unknown,2013,8,12.703903921197613,3.016285653171868,366638.57,121553.0,35683407.79033708,8523733.40449438,4605718.565343865
Bronx,2013,9,13.746862534519792,4.183312365756367,27266.83,6518.0,2653767.20741573,457065.5955056179,337444.55135745776
Brooklyn,2013,9,14.530439890572817,3.707923065303862,1620147.32,436942.0,157682203.2116854,30639944.067415725,20050364.693306394
EWR,2013,9,6.59945945945946,6.527891891891892,1207.66,185.0,117536.52719101124,12972.865168539325,14945.568916238062
Manhattan,2013,9,12.304226490983392,2.5421304009340013,32297535.41,12704909.0,3143384850.8024716,890913899.6516854,399702765.0951378
Queens,2013,9,27.617242999897684,10.537721919443404,7724413.61,733025.0,751785063.9305618,51402348.59550561,95594584.52360949
Staten Island,2013,9,17.550555555555555,7.811333333333334,937.36,120.0,91229.35191011235,8414.831460674157,11600.43263776635
Unknown,2013,9,13.06751196518493,2.9889174439670017,399265.57,133582.0,38858858.06,9367250.13483146,4941168.120427994
Bronx,2013,10,14.145313924186372,4.113767090236449,25575.29,6217.0,2489136.651460674,435958.3932584269,300538.7843916238
Brooklyn,2013,10,14.464697998821183,3.706424074022098,1584674.2,427548.0,154229751.91460672,29981203.011235952,18621726.585495956
EWR,2013,10,8.182348804500704,6.81957805907173,1616.24,237.0,157301.91999999998,16619.29213483146,18992.660684790593
Manhattan,2013,10,12.294908882796468,2.5188893494682003,34180993.46,13569867.0,3326693992.7024717,951567864.5730336,401665600.8110345
Queens,2013,10,28.15590199131904,10.602001285577018,7999475.02,754525.0,778555647.4521347,52910005.8988764,94002941.83494928
Staten Island,2013,10,13.986827956989249,4.977258064516128,617.18,124.0,60067.56359550561,8695.325842696628,7252.567886847904
