pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
EWR,2013,5,6.985951468710089,5.898697318007662,1539.56,261.0
Manhattan,2013,5,12.27824628626612,2.514355187576718,33220550.82,13212354.0
Queens,2013,5,28.053903918434912,10.231305777834308,7400467.17,723316.0
Staten Island,2013,5,15.384007707129095,4.787341040462428,828.21,173.0
Unknown,2013,5,13.305904517236744,3.041889310281962,2369321.5,778898.0
Bronx,2013,6,14.134670781893004,4.097414421997756,29206.37,7128.0
Brooklyn,2013,6,14.1021808306955,3.696044506202876,1473561.2,398686.0
EWR,2013,6,8.595540935672515,6.491535087719298,1480.07,228.0
Manhattan,2013,6,12.28991007811239,2.521656044963501,32541635.88,12904867.0
Queens,2013,6,28.08972684604112,10.279364484955728,7493810.9,729015.0
Staten Island,2013,6,14.332476190476193,3.766771428571429,1318.37,350.0
Unknown,2013,6,12.941331409186123,2.918620193477477,695723.17,238374.0
Bronx,2013,7,13.920568372276447,4.261194912747708,28814.2,6762.0
Brooklyn,2013,7,13.781859798558266,3.729184874043208,1338822.12,359012.0
EWR,2013,7,10.925966850828727,6.513370165745857,1178.92,181.0
Manhattan,2013,7,11.774149812249952,2.4878056009545904,31063220.88,12486193.0
Queens,2013,7,26.551674082589454,10.33606888215254,7156993.84,692429.0
Staten Island,2013,7,18.32765432098765,4.8948888888888895,660.8100000000001,135.0
Unknown,2013,7,12.659796867715,2.9002058873394647,547396.46,188744.0
Bronx,2013,8,14.109841471531434,4.536282446905065,24990.38,5509.0
Brooklyn,2013,8,14.019939969445648,106.75277848298254,34985234.07,327722.0
EWR,2013,8,4.639017341040463,8.104624277456647,1402.1,173.0
Manhattan,2013,8,11.91715224992968,82.04265886963137,856465221.33,10439267.0
Queens,2013,8,26.38851071425141,120.52537564712928,75290032.71000001,624682.0
Staten Island,2013,8,16.301190476190477,7.547142857142857,845.28,112.0
Unknown,2013,8,12.703903921197613,3.016285653171868,366638.57,121553.0
Bronx,2013,9,13.746862534519792,4.183312365756367,27266.83,6518.0
Brooklyn,2013,9,14.530439890572817,3.707923065303862,1620147.32,436942.0
