predicted_co2_emissions,date,year,month,borough,predicted_co2_emissions_adjusted,co2_reduction_coef,total_co2_reduction
4283.494645344316,2024-02-01,2024,2,EWR,856.6989290688633,105.87038986931144,3320.9253264061413
1286.5065325356663,2024-03-01,2024,3,EWR,257.3013065071333,105.87038986931144,923.3348361592217
1403.9294814469429,2024-04-01,2024,4,EWR,280.7858962893886,105.87038986931144,1017.2731952882428
3215.448007894691,2024-05-01,2024,5,EWR,643.0896015789382,105.87038986931144,2466.488016446441
69166600.27177557,2023-06-01,2023,6,Manhattan,13833320.054355115,105.87038986931144,55333174.34703059
94718423.61410014,2023-07-01,2023,7,Manhattan,18943684.72282003,105.87038986931144,75774633.02089025
50617277.28012639,2023-08-01,2023,8,Manhattan,10123455.45602528,105.87038986931144,40493715.95371124
81366588.15441322,2023-09-01,2023,9,Manhattan,16273317.630882645,105.87038986931144,65093164.65314071
83136934.1750687,2023-10-01,2023,10,Manhattan,16627386.835013742,105.87038986931144,66509441.469665095
168843971.75445265,2023-11-01,2023,11,Manhattan,33768794.35089053,105.87038986931144,135075071.53317225
120593321.67974368,2023-12-01,2023,12,Manhattan,24118664.335948735,105.87038986931144,96474551.47340508
81388298.60780704,2024-01-01,2024,1,Manhattan,16277659.72156141,105.87038986931144,65110533.01585576
53367819.49892782,2024-02-01,2024,2,Manhattan,10673563.899785563,105.87038986931144,42694149.72875238
78075325.43055889,2024-03-01,2024,3,Manhattan,15615065.086111778,105.87038986931144,62460154.47405724
78023089.82233055,2024-04-01,2024,4,Manhattan,15604617.96446611,105.87038986931144,62418365.98747457
63834675.75251208,2024-05-01,2024,5,Manhattan,12766935.150502417,105.87038986931144,51067634.7316198
41830740.083844475,2023-06-01,2023,6,Queens,8366148.016768895,105.87038986931144,33464486.196685713
178966378.65411067,2023-07-01,2023,7,Queens,35793275.73082214,105.87038986931144,143172997.05289865
80398666.38953157,2023-08-01,2023,8,Queens,16079733.277906314,105.87038986931144,64318827.24123538
93875068.79381779,2023-09-01,2023,9,Queens,18775013.75876356,105.87038986931144,75099949.16466437
76766816.6147346,2023-10-01,2023,10,Queens,15353363.322946921,105.87038986931144,61413347.42139781
84270299.92933837,2023-11-01,2023,11,Queens,16854059.985867675,105.87038986931144,67416134.07308082
55447660.441476226,2023-12-01,2023,12,Queens,11089532.088295246,105.87038986931144,44358022.48279111
51206389.3043808,2024-01-01,2024,1,Queens,10241277.86087616,105.87038986931144,40965005.57311477
17915735.698924564,2024-02-01,2024,2,Queens,3583147.139784913,105.87038986931144,14332482.68874978
17861585.524973456,2024-03-01,2024,3,Queens,3572317.1049946914,105.87038986931144,14289162.549588894
20413252.699657906,2024-04-01,2024,4,Queens,4082650.5399315814,105.87038986931144,16330496.289336456
25797474.120424144,2024-05-01,2024,5,Queens,5159494.82408483,105.87038986931144,20637873.425949447
95474.48747852299,2023-06-01,2023,6,Staten Island,19094.897495704598,105.87038986931144,76273.71959294908
-2384.9858563717717,2023-07-01,2023,7,Staten Island,-476.99717127435434,105.87038986931144,-2967.8534175154377
31313.3410293705,2023-08-01,2023,8,Staten Island,6262.6682058741,105.87038986931144,24944.802433627086
-2922768.520614003,2023-09-01,2023,9,Staten Island,-584553.7041228006,105.87038986931144,-3507428.0951266726
