predicted_co2_emissions,date,year,month,borough,predicted_co2_emissions_adjusted,co2_reduction_coef,co2__emission_with_reduction
1023418.3482839029,2023-09-01,2023,9,Staten Island,204683.66965678058,105.87038986931144,818628.808237253
1136349.4998521926,2023-10-01,2023,10,Staten Island,227269.89997043854,105.87038986931144,908973.7294918847
17299925.324217767,2023-11-01,2023,11,Staten Island,3459985.0648435536,105.87038986931144,13839834.388984343
6593525.43582565,2023-12-01,2023,12,Staten Island,1318705.08716513,105.87038986931144,5274714.47827065
620916.1461445056,2024-01-01,2024,1,Staten Island,124183.22922890112,105.87038986931144,496627.0465257352
-104845.20783688361,2024-02-01,2024,2,Staten Island,-20969.041567376724,105.87038986931144,-83982.03665937619
98194.21907604893,2024-03-01,2024,3,Staten Island,19638.843815209788,105.87038986931144,78449.50487096985
755559.9011207634,2024-04-01,2024,4,Staten Island,151111.98022415268,105.87038986931144,604342.0505067414
316732.8889574187,2024-05-01,2024,5,Staten Island,63346.57779148374,105.87038986931144,253280.44077606563
45577314.98125379,2023-06-01,2023,6,Unknown,9115462.996250758,105.87038986931144,36461746.11461316
42643870.567062944,2023-07-01,2023,7,Unknown,8528774.113412589,105.87038986931144,34114990.583260484
48036161.17027051,2023-08-01,2023,8,Unknown,9607232.234054102,105.87038986931144,38428823.065826535
51978642.2957835,2023-09-01,2023,9,Unknown,10395728.4591567,105.87038986931144,41582807.96623693
51719180.15468983,2023-10-01,2023,10,Unknown,10343836.030937968,105.87038986931144,41375238.25336199
55393256.18674349,2023-11-01,2023,11,Unknown,11078651.237348698,105.87038986931144,44314499.07900492
49249272.06661558,2023-12-01,2023,12,Unknown,9849854.413323117,105.87038986931144,39399311.78290259
93672105.26370282,2024-01-01,2024,1,Unknown,18734421.052740566,105.87038986931144,74937578.3405724
93451510.18283263,2024-02-01,2024,2,Unknown,18690302.036566526,105.87038986931144,74761102.27587624
97070838.46278489,2024-03-01,2024,3,Unknown,19414167.692556977,105.87038986931144,77656564.89983805
106675245.05038445,2024-04-01,2024,4,Unknown,21335049.01007689,105.87038986931144,85340090.16991769
98475288.10942206,2024-05-01,2024,5,Unknown,19695057.621884413,105.87038986931144,78780124.61714779
