borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2014,1,12.20979597124166,2.7517056804197164,212417.92,77195.0
Brooklyn,2014,1,14.44056791980208,3.1775148465385548,616924.04,194153.0
EWR,2014,1,16.23095238095238,9.175714285714289,128.46,14.0
Manhattan,2014,1,12.435306664360784,2.785084759197409,773003.06,277551.0
Queens,2014,1,12.481007803097397,2.7882414077934468,654857.53,234864.0
Staten Island,2014,1,11.49976076555024,3.4519138755980863,721.45,209.0
Unknown,2014,1,321.09615716753024,3.956411917098445,6108.7,1544.0
Bronx,2014,2,12.888192377980326,2.713891868386723,318293.38,117283.0
Brooklyn,2014,2,15.560832533209869,3.1963731826444683,842247.53,263501.0
EWR,2014,2,13.10701754385965,6.8500000000000005,130.15,19.0
Manhattan,2014,2,13.064907738187692,2.7287598707713334,878415.09,321910.0
Queens,2014,2,12.89825550809366,2.7720802086265066,778103.51,280693.0
Staten Island,2014,2,13.119729514717582,3.5787589498806684,1499.5,419.0
Unknown,2014,2,357.59074550128537,4.128622107969152,8030.17,1945.0
Bronx,2014,3,13.628334989254643,2.762956726062268,380981.34,137889.0
Brooklyn,2014,3,17.00471710716648,3.2764372861304745,1185369.14,361786.0
EWR,2014,3,10.916666666666668,8.701428571428572,121.82,14.0
Manhattan,2014,3,14.072933088325955,2.799076377868197,1172910.97,419035.0
Queens,2014,3,14.087717682295237,2.846473546817164,996630.09,350128.0
Staten Island,2014,3,19.23132854578097,3.8203052064631953,2127.91,557.0
Unknown,2014,3,372.147579500284,4.006482112436116,9407.22,2348.0
Bronx,2014,4,15.082121671695088,2.822310627450348,349859.27,123962.0
Brooklyn,2014,4,17.79542084380261,3.33458861450217,1313861.26,394010.0
EWR,2014,4,8.284090909090908,5.990909090909091,131.8,22.0
Manhattan,2014,4,14.469683819609411,2.805259271710622,1134831.17,404537.0
Queens,2014,4,15.11949546221967,2.9051574321668943,1057102.54,363871.0
Staten Island,2014,4,23.18991981672394,3.7037113402061856,1077.78,291.0
Unknown,2014,4,294.3263475036419,4.171458085021851,10499.56,2517.0
Bronx,2014,5,15.730363959354792,2.894017736090386,339395.93,117275.0
Brooklyn,2014,5,18.545001674572543,3.4304478003997083,1567141.76,456833.0
EWR,2014,5,165.9604938271605,11.48148148148148,310.0,27.0
Manhattan,2014,5,15.340772703299034,2.9046771573556533,1240982.65,427236.0
Queens,2014,5,15.939841637018132,3.053145317626944,1214281.69,397715.0
Staten Island,2014,5,21.849676375404528,7.243009708737864,746.03,103.0
Unknown,2014,5,300.74076730418943,4.228148907103825,12380.02,2928.0
Bronx,2014,6,15.908487313334426,2.9570985825799165,306470.74,103639.0
Brooklyn,2014,6,18.40611634963231,3.4639360604480336,1547676.24,446797.0
EWR,2014,6,109.68928571428572,10.94,153.16,14.0
Manhattan,2014,6,14.826561406280794,2.905769995310812,1140200.9,392392.0
Queens,2014,6,15.603477407012376,3.02629972386398,1132111.49,374091.0
Staten Island,2014,6,25.5715,9.0597,905.97,100.0
Unknown,2014,6,314.75311942959,4.471386809269162,12542.24,2805.0
Bronx,2014,7,15.344037970138432,2.961016116043883,283129.4,95619.0
Brooklyn,2014,7,17.559913679321028,3.428073341244757,1458799.47,425545.0
EWR,2014,7,22.13205128205129,15.599230769230768,202.79,13.0
Manhattan,2014,7,14.259611390542894,2.8844632916975548,1085593.72,376359.0
Queens,2014,7,14.97102162818455,3.022563924839206,1077108.79,356356.0
Staten Island,2014,7,48.28333333333333,10.013333333333332,600.8,60.0
Unknown,2014,7,265.4363012867201,4.248903860160233,11667.49,2746.0
Bronx,2014,8,15.912869831870571,3.0062049275668814,284296.8,94570.0
Brooklyn,2014,8,16.727381844662677,3.4309153046188965,1611281.34,469636.0
EWR,2014,8,2.33030303030303,5.499090909090909,120.98,22.0
Manhattan,2014,8,13.963546870981068,2.913446792258708,1121376.93,384897.0
Queens,2014,8,15.091579906113322,3.162033537318618,1183264.57,374210.0
Staten Island,2014,8,14.78523592085236,5.125799086757991,1122.55,219.0
Unknown,2014,8,106.40555014605648,4.341616358325219,8917.68,2054.0
Bronx,2014,9,15.911196603374814,2.9948505703035977,265454.57,88637.0
Brooklyn,2014,9,16.70408859741621,3.3794227101159926,1592799.65,471323.0
EWR,2014,9,147.81410256410257,9.10923076923077,118.42,13.0
Manhattan,2014,9,13.853953147332986,2.8260307017000623,1140843.16,403691.0
Queens,2014,9,14.579053762758308,3.061982824059013,1157695.9,378087.0
Staten Island,2014,9,38.289550264550265,5.87047619047619,1479.36,252.0
Unknown,2014,9,32.20759623259623,3.9322113022113023,6401.64,1628.0
Bronx,2014,10,14.424028434992582,2.8282383515067515,261190.64,92351.0
Brooklyn,2014,10,16.556498053411563,3.300647168376246,1731496.4,524593.0
EWR,2014,10,9.79404761904762,7.933571428571429,111.07,14.0
Manhattan,2014,10,13.999968712594107,2.791062594434548,1280123.65,458651.0
Queens,2014,10,14.17367598270921,2.905248436290289,1140763.23,392656.0
Staten Island,2014,10,16.948342541436464,5.412430939226519,979.65,181.0
Unknown,2014,10,29.208833522083808,4.180713476783692,7383.14,1766.0
Bronx,2014,11,13.339954919463064,2.824930760180898,261727.01,92649.0
Brooklyn,2014,11,16.26710165445406,3.227377557631101,1828280.34,566491.0
EWR,2014,11,5.064102564102565,4.423076923076923,57.5,13.0
Manhattan,2014,11,13.261628510402304,2.7638175270108043,1240918.14,448987.0
Queens,2014,11,13.380307905169165,2.808806398163133,1164584.5,414619.0
Staten Island,2014,11,19.574186046511628,5.079162790697675,1092.02,215.0
Unknown,2014,11,13.802045328911,3.702587064676617,6697.9800000000005,1809.0
Bronx,2014,12,13.475367274062208,2.801221165398478,279785.97,99880.0
Brooklyn,2014,12,16.096206566676923,3.202549755154467,1914894.17,597928.0
EWR,2014,12,11.27543859649123,14.721052631578948,279.7,19.0
Manhattan,2014,12,13.208827766283244,2.717468500416827,1258247.7,463022.0
Queens,2014,12,13.346717046155645,2.72998175386334,1246332.22,456535.0
Staten Island,2014,12,15.08542857142857,3.930257142857143,1375.59,350.0
Unknown,2014,12,17.70088816385717,3.48994562262099,6418.01,1839.0
Bronx,2015,1,13.067909907851648,2.769404386566141,242433.66,87540.0
Brooklyn,2015,1,14.970981175960558,3.051936612169032,1722412.31,564367.0
EWR,2015,1,15.310256410256413,14.640769230769232,190.33,13.0
Manhattan,2015,1,12.495766998662177,2.61150850606706,1114625.78,426813.0
Queens,2015,1,12.636540039748065,2.695255396145822,1090360.18,404548.0
Staten Island,2015,1,28.600797872340426,5.324893617021277,1001.08,188.0
Unknown,2015,1,14.4267658315936,3.8592379958246346,7394.3,1916.0
Bronx,2015,2,13.853029792065378,2.7261761556685298,323354.48,118611.0
Brooklyn,2015,2,15.91079003790006,3.079322779243624,1743592.62,566226.0
EWR,2015,2,21.548717948717947,14.984615384615385,194.8,13.0
Manhattan,2015,2,13.408125962166276,2.6090020576131687,1161465.1,445176.0
Queens,2015,2,13.346470687511736,2.682985350292733,1128707.79,420691.0
Staten Island,2015,2,16.64326797385621,4.397882352941177,1121.46,255.0
Unknown,2015,2,12.857761732851984,3.698731304796287,7171.84,1939.0
Bronx,2015,3,14.715358850719298,2.7855513043217828,372027.09,133556.0
Brooklyn,2015,3,16.32959239456027,3.1179060060850365,1942979.25,623168.0
EWR,2015,3,27.23809523809524,12.534285714285716,87.74000000000001,7.0
Manhattan,2015,3,13.567983530135429,2.647097896515618,1276682.08,482295.0
Queens,2015,3,13.726124031348483,2.7006272774024533,1228823.22,455014.0
Staten Island,2015,3,26.7982905982906,5.873479853479854,1603.46,273.0
Unknown,2015,3,17.170886879263843,4.207163255592575,8839.25,2101.0
Bronx,2015,4,15.101412899940446,2.9383063325881875,340435.11,115861.0
Brooklyn,2015,4,16.56509045723795,3.1977287203099887,1945939.44,608538.0
EWR,2015,4,3.4296296296296296,10.143333333333334,91.29,9.0
Manhattan,2015,4,13.57268321465278,2.681612653025664,1261942.78,470591.0
Queens,2015,4,13.701224661461278,2.80438884236732,1239119.21,441850.0
Staten Island,2015,4,26.571991701244816,6.825020746887967,1644.83,241.0
Unknown,2015,4,21.691868540051683,4.8575678294573645,10026.02,2064.0
Bronx,2015,5,15.447515207240938,2.971851541985239,358764.89,120721.0
Brooklyn,2015,5,16.957831729970337,3.2953306756246903,2174809.5,659967.0
EWR,2015,5,22.83,12.425,124.25,10.0
Manhattan,2015,5,14.118459232079749,2.764412578264849,1365166.45,493836.0
Queens,2015,5,14.14800146275624,2.9096468498351813,1406994.65,483562.0
Staten Island,2015,5,26.376148148148147,5.7340888888888895,1290.17,225.0
Unknown,2015,5,22.025345548055288,5.136562198649951,10653.23,2074.0
Bronx,2015,6,15.313227935696796,2.9769123752982507,316904.23,106454.0
Brooklyn,2015,6,16.509327461345347,3.180607520198881,1903746.27,598548.0
EWR,2015,6,11.35,8.62375,137.98,16.0
Manhattan,2015,6,13.749523850295867,2.69750409445569,1228696.93,455494.0
Queens,2015,6,14.050589707354412,2.8138377053524115,1274330.82,452880.0
Staten Island,2015,6,38.84896907216495,6.467628865979382,1254.72,194.0
Unknown,2015,6,20.96402784940691,4.502686952037132,8730.71,1939.0
Bronx,2015,7,14.489622937613124,3.051655036042728,291680.24,95581.0
Brooklyn,2015,7,15.937318321781866,3.255802818058139,1823581.67,560102.0
EWR,2015,7,19.00925925925926,11.957777777777778,107.62,9.0
Manhattan,2015,7,13.008089664999046,2.721445310597398,1173359.31,431153.0
Queens,2015,7,13.451541137069952,2.876915537491852,1240143.35,431067.0
Staten Island,2015,7,16.591256830601093,5.688360655737705,1040.97,183.0
Unknown,2015,7,18.27910241202056,4.598303677342823,7752.74,1686.0
Bronx,2015,8,14.939164566119205,3.167694672710215,280242.78,88469.0
Brooklyn,2015,8,15.60116176015939,3.269720208855759,1903696.5,582220.0
EWR,2015,8,14.803703703703702,12.76,114.84,9.0
Manhattan,2015,8,12.783351272734278,2.7572997950814737,1145070.76,415287.0
Queens,2015,8,13.451940378802716,2.973826771021852,1260334.55,423809.0
Staten Island,2015,8,19.74972222222222,6.396888888888889,1151.44,180.0
Unknown,2015,8,21.040522676428715,5.724240390482001,9382.03,1639.0
Bronx,2015,9,20.321540048748208,3.0777140954659234,249593.38,81097.0
Brooklyn,2015,9,22.412212717838457,3.213822648910911,1805673.4,561846.0
EWR,2015,9,8.505128205128205,8.974615384615385,116.67,13.0
Manhattan,2015,9,17.982344737959966,2.705310256125327,1144229.91,422957.0
Queens,2015,9,20.037304157588693,3.0234065145009863,1229504.54,406662.0
Staten Island,2015,9,19.382456140350875,6.719078947368421,510.65,76.0
Unknown,2015,9,19.676673164392465,4.33929174788824,6678.17,1539.0
Bronx,2015,10,21.797724350836468,2.983808533533231,246787.82,82709.0
Brooklyn,2015,10,24.396363874069227,3.1225371759611256,1942558.48,622109.0
EWR,2015,10,22.642592592592592,12.983333333333333,116.85,9.0
Manhattan,2015,10,20.00058171634212,2.662576508500468,1241005.61,466092.0
Queens,2015,10,21.91348250334414,2.8180544459443326,1227510.7,435588.0
Staten Island,2015,10,12.715503875968992,4.0689534883720935,349.93,86.0
Unknown,2015,10,17.420858838805415,4.315303283249861,7754.6,1797.0
Bronx,2015,11,21.666911944730085,2.931873105327119,219541.59,74881.0
Brooklyn,2015,11,25.3074096849952,3.1434477431988057,1817217.71,578097.0
EWR,2015,11,12.193939393939392,5.756363636363637,63.32,11.0
Manhattan,2015,11,20.02528646746033,2.6554987054979597,1174407.58,442255.0
Queens,2015,11,22.46138945960732,2.773373436265272,1140619.16,411275.0
Staten Island,2015,11,35.40441919191919,4.731212121212121,624.52,132.0
Unknown,2015,11,19.187135539795115,4.704338061465721,7959.74,1692.0
Bronx,2015,12,21.88119967793881,2.973121144555927,240020.07,80730.0
Brooklyn,2015,12,23.43847725567816,3.118250790810885,1885790.23,604759.0
EWR,2015,12,15.50897435897436,7.716153846153846,100.31,13.0
Manhattan,2015,12,19.26633260877353,2.636460192713897,1201985.93,455909.0
Queens,2015,12,21.77254996302939,2.746469344513366,1215845.5,442694.0
Staten Island,2015,12,28.42871376811594,7.342010869565217,1350.93,184.0
Unknown,2015,12,17.487313296903462,5.172420765027323,9465.53,1830.0
Bronx,2016,1,21.575626244112023,2.9536606456571866,199821.05,67652.0
Brooklyn,2016,1,23.625829595138395,3.0111307817711053,1695585.81,563106.0
EWR,2016,1,2.6583333333333337,6.6425,26.57,4.0
Manhattan,2016,1,19.064625305495543,2.5463026346363966,1030065.99,404534.0
Queens,2016,1,21.318949486915287,2.705958944614741,1047836.6,387233.0
Staten Island,2016,1,36.72900976290098,7.480251046025105,1787.78,239.0
Unknown,2016,1,19.30317170663886,4.648138686131387,8915.13,1918.0
Bronx,2016,2,21.71016286040158,2.908969390732341,219342.11,75402.0
Brooklyn,2016,2,23.42272205095184,2.995260087691208,1730388.71,577709.0
EWR,2016,2,27.716666666666665,28.4825,113.93,4.0
Manhattan,2016,2,18.842591990070435,2.5310313748350595,1120193.99,442584.0
Queens,2016,2,21.0308792471148,2.6597275035389973,1046530.96,393473.0
Staten Island,2016,2,45.182767295597486,9.093509433962264,2409.78,265.0
Unknown,2016,2,17.33356871678056,4.281157175398633,9397.14,2195.0
Bronx,2016,3,21.939017405490414,2.916396723120078,248485.75,85203.0
Brooklyn,2016,3,23.76700991897178,3.075094165968147,1834293.67,596500.0
EWR,2016,3,112.52435897435898,4.586153846153847,59.620000000000005,13.0
Manhattan,2016,3,18.562936088630856,2.575096852378981,1187812.35,461269.0
Queens,2016,3,21.34824829038202,2.730756165330115,1122362.63,411008.0
Staten Island,2016,3,63.14608843537415,7.674540816326531,1504.21,196.0
Unknown,2016,3,20.42129679869777,4.97517091698318,9169.24,1843.0
Bronx,2016,4,23.26382734149244,3.04932190209077,239188.81,78440.0
Brooklyn,2016,4,24.078913835271663,3.1073157725463143,1864659.8,600087.0
EWR,2016,4,4.666666666666667,5.6075,44.86,8.0
Manhattan,2016,4,18.918489301300987,2.59088898515593,1124388.82,433978.0
Queens,2016,4,21.92723586479629,2.787989598335342,1140212.47,408973.0
Staten Island,2016,4,27.24182242990654,5.828598130841121,1247.32,214.0
Unknown,2016,4,18.366769483857706,4.526212214682295,7336.99,1621.0
Bronx,2016,5,24.59010699226439,3.144909958544941,235934.29,75021.0
Brooklyn,2016,5,26.37963664375731,3.1718284502545973,1923549.02,606448.0
EWR,2016,5,1.2351851851851852,7.25,65.25,9.0
Manhattan,2016,5,20.71635346510607,2.656437815848225,1137518.55,428212.0
Queens,2016,5,23.17267449458399,2.852528769075617,1156863.01,405557.0
Staten Island,2016,5,30.50027322404372,6.001844262295082,1464.45,244.0
Unknown,2016,5,18.477096705177576,4.4886713735558414,6993.35,1558.0
Bronx,2016,6,24.639894822127864,3.15659679815151,210384.02,66649.0
Brooklyn,2016,6,25.908610504190055,3.139082833199657,1702497.27,542355.0
EWR,2016,6,4.661111111111111,6.88,61.92,9.0
Manhattan,2016,6,20.58827919910072,2.618902025913436,1032868.77,394390.0
Queens,2016,6,23.398617475799583,2.863423084199573,1089738.65,380572.0
Staten Island,2016,6,41.85179677819083,7.037434944237918,1893.07,269.0
Unknown,2016,6,22.013970773494584,4.868715041572185,6441.31,1323.0
Bronx,2016,7,24.194088096498568,3.246856225558004,190126.16,58557.0
Brooklyn,2016,7,24.530474603365523,3.162610822912261,1630205.7,515462.0
EWR,2016,7,8.868518518518519,14.284444444444444,128.56,9.0
Manhattan,2016,7,19.757923838389832,2.6458916306900764,981210.39,370843.0
Queens,2016,7,22.628386010925382,2.8944541169221707,1061659.72,366791.0
Staten Island,2016,7,36.02181818181818,9.498945454545456,2612.21,275.0
Unknown,2016,7,22.577805486284287,5.179866999168745,6231.38,1203.0
Bronx,2016,8,22.61229227945798,3.262420431405084,173025.73,53036.0
Brooklyn,2016,8,23.568161893261887,3.1698479302667826,1512074.52,477018.0
EWR,2016,8,26.697222222222223,18.118333333333336,108.71,6.0
Manhattan,2016,8,19.044723007565477,2.615604882591184,932546.84,356532.0
Queens,2016,8,22.39188347276271,2.904859374954248,992041.43,341511.0
Staten Island,2016,8,36.986626746506985,6.911497005988024,1154.22,167.0
Unknown,2016,8,19.136131386861315,5.056815693430657,5542.27,1096.0
Bronx,2016,9,22.8923559139577,3.1618696215505406,163503.44,51711.0
Brooklyn,2016,9,24.77381249753656,3.0459162281738994,1236447.05,405936.0
EWR,2016,9,13.950000000000005,10.48,31.44,3.0
Manhattan,2016,9,20.323905853727798,2.5795648191711185,926597.74,359207.0
Queens,2016,9,22.95939928592832,2.924909511983301,959852.93,328165.0
Staten Island,2016,9,21.51885521885522,6.241666666666666,1235.85,198.0
Unknown,2016,9,20.19072375127421,4.207186544342508,4127.25,981.0
Bronx,2016,10,21.57421350375261,3.078939605552734,145498.37,47256.0
Brooklyn,2016,10,23.828001174843028,3.02092365215507,1366239.91,452259.0
EWR,2016,10,6.641666666666667,1.2,2.4,2.0
Manhattan,2016,10,19.398341567056796,2.596179630235687,999534.35,385002.0
Queens,2016,10,21.342889357098112,2.7194299299584306,955118.18,351220.0
Staten Island,2016,10,49.70777153558053,7.935337078651686,1412.49,178.0
