predicted_cost,predicted_cost_with_savings,date,year,month,borough,Total_reduction
11981102.07178271,4792440.828713083,2023-10-01,2023,10,Queens,7188661.243069627
13327529.99181219,5331011.996724875,2023-11-01,2023,11,Queens,7996517.995087315
9927250.516452426,3970900.2065809704,2023-12-01,2023,12,Queens,5956350.309871456
45820533.9276201,18328213.571048036,2024-01-01,2024,1,Queens,27492320.35657206
43807236.67946451,17522894.6717858,2024-02-01,2024,2,Queens,26284342.00767871
40183328.546718396,16073331.418687358,2024-03-01,2024,3,Queens,24109997.128031038
41292184.71271756,16516873.88508702,2024-04-01,2024,4,Queens,24775310.827630542
42658161.295105554,17063264.51804222,2024-05-01,2024,5,Queens,25594896.777063332
84545.26566499524,33818.106265998096,2023-06-01,2023,6,Staten Island,50727.159398997144
86006.71603663806,34402.68641465522,2023-07-01,2023,7,Staten Island,51604.02962198284
155590.45884094515,62236.183536378056,2023-08-01,2023,8,Staten Island,93354.2753045671
167529.5470435647,67011.81881742587,2023-09-01,2023,9,Staten Island,100517.72822613883
169486.1484239705,67794.45936958819,2023-10-01,2023,10,Staten Island,101691.68905438231
3657364.8117595254,1462945.92470381,2023-11-01,2023,11,Staten Island,2194418.8870557155
1331920.717234226,532768.2868936904,2023-12-01,2023,12,Staten Island,799152.4303405356
11081.899479716085,4432.759791886434,2024-01-01,2024,1,Staten Island,6649.139687829651
45285.41797794851,18114.1671911794,2024-02-01,2024,2,Staten Island,27171.250786769113
47811.40017945186,19124.560071780743,2024-03-01,2024,3,Staten Island,28686.84010767112
82300.73334824797,32920.29333929918,2024-04-01,2024,4,Staten Island,49380.44000894879
60933.20178744991,24373.280714979963,2024-05-01,2024,5,Staten Island,36559.921072469944
4899673.568896614,1959869.4275586456,2023-06-01,2023,6,Unknown,2939804.1413379684
4193950.1891339896,1677580.0756535958,2023-07-01,2023,7,Unknown,2516370.113480394
4666601.096066415,1866640.4384265658,2023-08-01,2023,8,Unknown,2799960.6576398495
5523300.961753954,2209320.3847015817,2023-09-01,2023,9,Unknown,3313980.5770523725
5293655.958249661,2117462.3832998644,2023-10-01,2023,10,Unknown,3176193.574949797
6014888.235206131,2405955.294082452,2023-11-01,2023,11,Unknown,3608932.941123679
4684142.256004116,1873656.9024016457,2023-12-01,2023,12,Unknown,2810485.35360247
9504919.557233326,3801967.82289333,2024-01-01,2024,1,Unknown,5702951.734339996
9424783.397845972,3769913.359138388,2024-02-01,2024,2,Unknown,5654870.038707584
9874246.897579815,3949698.7590319254,2024-03-01,2024,3,Unknown,5924548.13854789
12285666.027164113,4914266.410865645,2024-04-01,2024,4,Unknown,7371399.616298468
10168498.959440844,4067399.583776337,2024-05-01,2024,5,Unknown,6101099.375664507
