pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2017,3,15.883688850967008,3.5424221416382253,33213.75,9376.0
Brooklyn,2017,3,16.19149883693124,3.289527228852801,504383.21,153330.0
EWR,2017,3,9.761640211640213,6.057777777777778,1526.56,252.0
Manhattan,2017,3,15.1032275578956,2.368981540747895,22036271.03,9302002.0
Queens,2017,3,36.79118375466974,11.241268434527544,6629987.71,589790.0
Staten Island,2017,3,20.951724137931038,4.798836206896551,1113.33,232.0
Unknown,2017,3,15.529177312065553,2.8190097477328178,489898.79,173784.0
