pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2020,11,16.197391852441616,14.023907643312102,164209.23,6280.5
Brooklyn,2020,11,25.200901416511662,10.99571684074975,307396.26,27956.0
EWR,2020,11,7.655333333333333,6.082000000000001,152.05,25.0
Manhattan,2020,11,69.94137267956265,2.3119992615526748,557141.8066666666,228331.5
Queens,2020,11,34.03979779222119,24.36134194310796,718809.7166666668,19745.666666666668
Staten Island,2020,11,44.73347659980898,24.205472779369625,8447.71,349.0
Unknown,2020,11,18.590947493366848,4.102231881022203,38559.555,7161.5
