pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2018,8,23.220553796424564,6.117863645359193,61827.13,10106.0
Brooklyn,2018,8,173.49580276592877,1.5488883478761069,97962.30249999999,23797.5
EWR,2018,8,9.75712788259958,7.117358490566038,1131.66,159.0
Manhattan,2018,8,108.84763903552609,2.72978840139215,1297013.0392307693,542930.8461538461
Queens,2018,8,113.16968758556916,11.634143242895382,771143.14125,67156.125
Staten Island,2018,8,37.60764272559853,14.97,2709.57,181.0
Unknown,2018,8,165.10514514168486,3.08334868572668,100000.59333333334,32786.333333333336
