,Coef,Std Err,P>|t|,Significativo
const,343.84711012428573,1439.4824342361792,0.8117387939643771,False
Es_Electrico,-1.3010396175081467,0.8579462226086919,0.13283215688628564,False
Year,-0.13286353075680757,0.7115252131155781,0.8522830192863997,False
Base Price (USD),-0.00012466836582674228,2.8355114082300646e-05,2.9459033607762827e-05,True
Range (mi),0.002553775194846602,0.0022576046088229533,0.2609160916442114,False
Vehicle Type_Minivan,1.0166074915105756,2.6041264949532614,0.6971555745102722,False
Vehicle Type_Pick-up,-2.3042586357806507,2.9530816430071902,0.4372234560138403,False
Vehicle Type_SUV,-2.8813070180339317,2.5509352381643735,0.26161916049329675,False
Vehicle Type_Sedan,-2.84988152026144,2.509977833985814,0.2591483104126679,False
