,Coef,Std Err,P>|t|,Significativo
const,-67124.55263783722,33058.15577189232,0.045192703044498024,True
Es_Electrico,-105.87038986931145,19.702998241832873,5.79825642300976e-07,True
Year,33.19669463687375,16.340394833150427,0.045081600163127296,True
Base Price (USD),0.0005111399793660128,0.0006511838949669851,0.4345056741942407,False
Range (mi),-0.07265285938205128,0.05184658253187557,0.16448739345319827,False
Vehicle Type_Minivan,33.259589574392045,59.80456396854668,0.5794666500921485,False
Vehicle Type_Pick-up,39.923707261755915,67.8184260118801,0.5575150228304973,False
Vehicle Type_SUV,27.804270013212207,58.58301043596549,0.6361873642741702,False
Vehicle Type_Sedan,131.5854868973461,57.64241108223622,0.024746460178279618,True
