pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2017,1,14.584926470588234,3.4988512763596007,25219.72,7208
Brooklyn,2017,1,15.567712975398326,3.3152830260667847,434461.21,131048
EWR,2017,1,5.239358974358974,6.303423076923077,1638.89,260
Manhattan,2017,1,13.879351811165032,2.305940786175651,20345410.1,8823041
Queens,2017,1,32.291259123652246,11.436279094295841,6072046.64,530946
Staten Island,2017,1,13.887108433734939,3.601493975903614,1494.62,415
Unknown,2017,1,14.09427708507557,2.7871803142625393,443270.37,159039
