pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2020,6,22.113352815341127,10.659358239743296,93013.56,8726
Brooklyn,2020,6,25.50703676425459,14.189453139385012,231188.76,16293
EWR,2020,6,17.471666666666668,6.6659999999999995,66.66,10
Manhattan,2009,1,10.294444444444444,1.57,4.71,3
Manhattan,2020,5,358.27916666666664,5.685,22.74,4
Manhattan,2020,6,12.943734985495421,3.2681080661884687,1538154.67,470656
Manhattan,2020,7,7.483333333333333,1.69,1.69,1
Queens,2020,6,25.668692649702017,10.712233153596317,339717.05,31713
Queens,2020,7,12.55,9.38,9.38,1
Staten Island,2020,6,63.135946462715104,23.999598470363292,12551.79,523
Unknown,2020,6,15.88192316487537,9.541838554767894,41726.46,4373
