pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2022,11,30.903865261117172,11.500905125408943,31638.99,2751
Brooklyn,2022,11,25.892058682552726,57.249639995891535,1114764.99,19472
EWR,2022,11,4.560598290598291,2.4428205128205125,476.34999999999997,195
Manhattan,2008,12,1160.7833333333333,1.51,1.51,1
Manhattan,2009,1,22.891666666666666,2.955,5.91,2
Manhattan,2022,10,10.50072463768116,2.3734782608695655,54.59,23
Manhattan,2022,11,16.17664537851604,5.37777586208721,15246354.88,2835067
Manhattan,2022,12,13.697115384615385,2.1353846153846154,111.03999999999999,52
Queens,2002,12,887.1666666666666,8.43,8.43,1
Queens,2008,12,1006.3666666666667,10.68,10.68,1
Queens,2022,10,26.103703703703705,13.652222222222221,122.86999999999999,9
Queens,2022,11,37.445548094348375,13.220865340039055,3764403.43,284732
Queens,2022,12,42.7125,11.8,47.2,4
Staten Island,2022,11,46.3695810564663,11.840218579234973,2166.76,183
Unknown,2022,11,24.26303390846894,9.714654100907678,475202.02,48916
Unknown,2022,12,26.733333333333334,4.95,4.95,1
