pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2009,1,12.716666666666667,0.06,0.06,1
Bronx,2021,7,29.3215442266843,242.5223638331129,2017058.5,8317
Brooklyn,2021,7,26.575951288386868,87.86368019767032,2489178.06,28330
Brooklyn,2021,8,14.441666666666666,2.285,4.57,2
EWR,2021,7,13.239460784313724,7.836323529411764,532.87,68
Manhattan,2004,4,1421.1666666666667,1.59,1.59,1
Manhattan,2008,12,599.9851851851852,2.717777777777778,24.46,9
Manhattan,2009,1,290.56976744186045,2.376511627906977,102.19,43
Manhattan,2021,6,10.994086021505376,2.8148387096774194,87.26,31
Manhattan,2021,7,14.973532146546928,4.573534220774061,11509756.22,2516600
Manhattan,2021,8,12.924561403508772,2.413684210526316,45.86,19
Queens,2008,12,14.166666666666668,7.925,15.85,2
Queens,2009,1,411.73333333333335,7.425000000000001,14.850000000000001,2
Queens,2021,6,18.794444444444444,9.608333333333333,57.65,6
Queens,2021,7,34.82175885192691,28.464097078740547,5758571.48,202310
Queens,2021,8,27.929166666666667,11.78125,94.25,8
Staten Island,2021,7,50.975477239353886,26.864273127753304,6098.19,227
Unknown,2021,6,8.866666666666667,1.72,1.72,1
Unknown,2021,7,28.21364017054972,6.675927744784528,175363.27,26268
Unknown,2021,8,0.75,0.31,0.31,1
