pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2017,9,16.279352285202517,3.932532501300052,22686.78,5769
Brooklyn,2017,8,13.925,4.82,9.64,2
Brooklyn,2017,9,17.628585629549303,3.453339412760224,420347.38,121722
Brooklyn,2017,10,15.020833333333334,3.34,13.36,4
EWR,2017,9,6.896610169491525,7.080254237288136,1670.94,236
Manhattan,2001,1,22.15,0.56,0.56,1
Manhattan,2008,12,8.083333333333334,1.04,1.04,1
Manhattan,2009,1,19.183333333333334,3.602857142857143,25.220000000000002,7
Manhattan,2017,8,47.88703703703703,3.131196581196581,366.35,117
Manhattan,2017,9,15.847994716233542,2.410368577938568,19465970.32,8075931
Manhattan,2017,10,13.631770833333334,2.6327083333333334,252.74,96
Queens,2009,1,31.0,11.12,11.12,1
Queens,2017,8,28.67948717948718,14.855384615384615,193.12,13
Queens,2017,9,37.632830208163774,11.495590981728567,6567764.5,571329
Queens,2017,10,19.85,7.105,14.21,2
Staten Island,2017,9,33.450208333333336,7.001875,560.15,80
Unknown,2017,8,12.883333333333333,2.67,2.67,1
Unknown,2017,9,17.355602090722194,3.0605669144129695,333959.88,109117
Unknown,2017,10,3.2,0.68,0.68,1
