pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2019,8,8.8,1.33,1.33,1
Bronx,2019,9,26.78678710413312,6.61425422705314,65719.23,9936
Brooklyn,2009,1,4.05,0.59,0.59,1
Brooklyn,2019,8,19.141666666666666,6.86,13.72,2
Brooklyn,2019,9,21.75549706977324,4.381405840859296,327956.99,74852
Brooklyn,2019,11,437.15,3.37,3.37,1
EWR,2019,9,10.607710280373833,5.0421495327102805,1079.02,214
Manhattan,2008,12,18.186666666666667,1.7759999999999998,8.879999999999999,5
Manhattan,2009,1,174.94615384615383,4.691538461538462,60.99,13
Manhattan,2019,8,79.69765258215963,2.745,389.79,142
Manhattan,2019,9,16.997938999503603,2.424113217490118,14296932.51,5897799
Manhattan,2019,10,67.74129353233832,1.8722388059701491,125.44,67
Manhattan,2019,11,106.82851851851852,2.298,103.41,45
Manhattan,2019,12,128.90172413793104,1.680344827586207,48.730000000000004,29
Manhattan,2020,1,53.69603174603175,2.7738095238095237,58.25,21
Manhattan,2020,2,93.86470588235295,2.389411764705882,40.62,17
Manhattan,2020,3,7.627777777777777,1.0733333333333333,3.2199999999999998,3
Manhattan,2020,4,11.505555555555555,1.6066666666666667,4.82,3
Manhattan,2020,5,99.43333333333334,1.548,7.74,5
Queens,2008,12,337.99444444444447,16.353333333333335,49.06,3
Queens,2009,1,413.9229166666667,10.17625,81.41,8
Queens,2019,8,252.4472222222222,9.83,58.98,6
Queens,2019,9,39.187948419498426,11.676917520773385,5417330.73,463935
Queens,2019,10,143.25277777777777,11.415,68.49,6
Queens,2019,11,103.66333333333333,7.558,37.79,5
Staten Island,2019,9,58.46559370529328,19.820815450643778,4618.25,233
Unknown,2008,12,955.9833333333333,1.89,1.89,1
Unknown,2019,8,5.3,0.45,0.45,1
Unknown,2019,9,18.231579807221042,3.2541216712955396,159347.83,48968
