pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2023,3,30.243043832370795,8.349282541092848,37588.47,4502
Brooklyn,2023,3,26.047934314911927,6.800938382412262,134876.21,19832
EWR,2023,3,10.419897959183674,6.212755102040816,608.85,98
Manhattan,2001,1,672.5916666666667,8.27,16.54,2
Manhattan,2003,1,13.083333333333334,3.29,3.29,1
Manhattan,2014,11,427.48333333333335,6.43,6.43,1
Manhattan,2023,2,14.740909090909092,3.5427272727272725,38.97,11
Manhattan,2023,3,14.830112682081499,2.9683651408763367,8858655.35,2984355
Manhattan,2023,4,30.780801687763713,2.2921518987341774,181.08,79
Queens,2001,1,845.15,17.68,17.68,1
Queens,2002,12,28.40833333333333,12.25,24.5,2
Queens,2003,1,732.525,17.44,34.88,2
Queens,2008,12,15.058333333333334,7.165,14.33,2
Queens,2023,2,20.53,7.49,37.45,5
Queens,2023,3,36.198642755118236,13.067107951118869,4116792.36,315050
Queens,2023,4,38.693333333333335,13.8,69.0,5
Staten Island,2023,3,36.71524024024024,13.106801801801803,2909.71,222
Unknown,2023,3,18.275786820819317,4.356327117149482,133386.38,30619
