pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2016,9,16.668585720782175,3.908492496589359,28649.25,7330
Brooklyn,2016,9,17.71961898968673,3.484301932701081,630083.74,180835
EWR,2016,9,9.655956471935854,6.697766323024055,1949.05,291
Manhattan,2016,9,16.165923967722005,8.071918180596958,73668086.83,9126466
Queens,2016,9,38.84612093774243,30.201471601053637,18505468.5,612734
Staten Island,2016,9,17.63967320261438,3.403549019607843,1735.81,510
Unknown,2016,9,17.434658020528598,3.064211763955648,384408.43,125451
