pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2009,1,14.416666666666666,3.97,3.97,1
Bronx,2021,8,29.95819699223269,243.67727689638076,1965988.27,8068
Brooklyn,2009,1,929.2166666666667,34.445,68.89,2
Brooklyn,2021,8,26.067734377672128,96.61482265622327,2824727.57,29237
Brooklyn,2021,9,7.966666666666667,3.49,3.49,1
EWR,2021,8,7.590437158469945,3.955737704918033,241.3,61
Manhattan,2008,12,653.0407407407407,2.1322222222222225,19.19,9
Manhattan,2009,1,319.2146666666667,2.1156,52.89,25
Manhattan,2011,1,12.4,1.67,3.34,2
Manhattan,2011,2,433.1666666666667,1.95,3.9,2
Manhattan,2021,7,19.720258980785296,2.610275689223058,1041.5,399
Manhattan,2021,8,14.700992262280359,4.707741658500164,11601452.540000001,2464335
Manhattan,2021,9,19.6875,2.952,59.04,20
Queens,2008,12,43.78333333333333,20.33,20.33,1
Queens,2009,1,28.572222222222223,8.07,24.21,3
Queens,2021,7,86.78707482993197,13.162653061224491,644.97,49
Queens,2021,8,35.691813092950184,21.887563146334767,4783308.05,218540
Queens,2021,9,21.266666666666666,9.15,27.45,3
Staten Island,2021,8,52.01908881199539,29.601176470588236,8554.74,289
Unknown,2021,8,28.423486173883465,6.758292025076542,185420.5,27436
