pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2018,7,23.40575771804202,5.763709355558164,49101.04,8519
Brooklyn,2018,6,151.49666666666667,3.008,30.08,10
Brooklyn,2018,7,19.787982226944358,3.9337129351561737,362833.88,92237
Brooklyn,2018,8,2.0,0.25,0.25,1
Brooklyn,2018,12,3.283333333333333,0.35,0.35,1
EWR,2018,7,6.979951690821256,6.0545893719806765,1253.3,207
Manhattan,2008,12,55.73939393939394,2.543030303030303,83.92,33
Manhattan,2009,1,75.62333333333333,3.747,37.47,10
Manhattan,2018,6,127.16268742791236,2.6907612456747403,777.63,289
Manhattan,2018,7,16.118354201390915,2.381871539964105,16822653.73,7062788
Manhattan,2018,8,37.923846153846156,2.5824615384615384,167.85999999999999,65
Manhattan,2018,9,158.10555555555555,1.8827777777777779,33.89,18
Manhattan,2018,10,70.7051282051282,2.8453846153846154,36.99,13
Manhattan,2018,11,18.96666666666667,4.2625,17.05,4
Manhattan,2018,12,106.82666666666667,5.052,25.259999999999998,5
Manhattan,2019,1,93.97333333333333,2.2990000000000004,22.990000000000002,10
Manhattan,2019,2,10.954761904761906,1.7957142857142858,12.57,7
Manhattan,2019,3,15.266666666666666,3.22,6.44,2
Queens,2008,12,43.733333333333334,15.435,30.87,2
Queens,2009,1,679.8333333333333,14.725,29.45,2
Queens,2018,6,170.58070175438596,10.126842105263158,192.41,19
Queens,2018,7,36.094688350250735,11.485597862863914,6008460.81,523130
Queens,2018,8,78.07291666666667,12.481250000000001,99.85000000000001,8
Queens,2018,10,26.15833333333333,9.83,19.66,2
Queens,2018,11,454.1166666666667,10.76,10.76,1
Queens,2018,12,24.0,10.56,10.56,1
Queens,2019,1,54.833333333333336,16.78,16.78,1
Queens,2019,2,456.21666666666664,18.13,18.13,1
Queens,2032,2,32.266666666666666,23.21,23.21,1
Staten Island,2018,7,42.042142857142856,12.483642857142858,1747.71,140
Unknown,2008,12,16.325,2.1199999999999997,4.239999999999999,2
Unknown,2018,6,23.216666666666665,7.82,7.82,1
Unknown,2018,7,16.799907226410998,3.2781073257004563,352167.07,107430
Unknown,2018,8,4.166666666666667,0.87,0.87,1
