Start date/time in UTC,Timezone,Duration (s),Observer ID,Latitude,Longitude,Mean volume (dBA),Could control noise exposure,Indoors,Noise_Source,Nominated as noise refuge,Start date UTC,Start time UTC,Mood_scale,timestamp,hour_of_day,day_of_month,month,day_of_week
2022-03-11 14:19:29,New York,29,206,27.06671,-82.34645,58,True,True,,False,2022-03-11,14:19:29,Extremely Happy,2022-03-11 14:19:29,14,11,3,5
2022-03-12 15:28:36,New York,29,138,33.80946,-84.36619,63,False,False,"hammer,automobile,bus,delivery truck,racing car",False,2022-03-12,15:28:36,Neutral,2022-03-12 15:28:36,15,12,3,6
2022-03-15 10:27:37,New York,29,221,33.66671,-84.44527,75,False,False,,False,2022-03-15,10:27:37,Neutral,2022-03-15 10:27:37,10,15,3,2
2022-03-15 16:53:12,New York,29,224,33.87328,-84.3458,40,False,True,speaking head in silhouette,True,2022-03-15,16:53:12,Happy,2022-03-15 16:53:12,16,15,3,2
2022-03-16 09:40:13,New York,29,225,33.66682,-84.44511,68,True,False,,False,2022-03-16,09:40:13,Neutral,2022-03-16 09:40:13,9,16,3,3
2022-03-16 09:40:49,New York,29,227,33.66647,-84.4456,61,False,False,,False,2022-03-16,09:40:49,Happy,2022-03-16 09:40:49,9,16,3,3
2022-03-16 16:20:17,New York,29,234,40.71791,-73.99153,52,True,True,,False,2022-03-16,16:20:17,Neutral,2022-03-16 16:20:17,16,16,3,3
2022-03-16 21:21:57,New York,29,227,33.79041,-84.20495,45,False,True,,False,2022-03-16,21:21:57,Happy,2022-03-16 21:21:57,21,16,3,3
2022-03-19 08:24:39,New York,29,237,33.85457,-84.47992,47,False,True,,False,2022-03-19,08:24:39,Happy,2022-03-19 08:24:39,8,19,3,6
2022-03-19 14:38:26,New York,29,239,33.57274,-84.37,65,True,True,"television,speaking head in silhouette,rolling on the floor laughing",True,2022-03-19,14:38:26,Happy,2022-03-19 14:38:26,14,19,3,6
2022-03-19 20:11:58,New York,29,240,33.94985,-84.26957,65,False,False,,True,2022-03-19,20:11:58,Happy,2022-03-19 20:11:58,20,19,3,6
