pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2022,7,25.73429966432713,6.583057674702472,21572.68,3277.0
Brooklyn,2022,7,23.923506982507984,25.205448262713883,528835.51,20981.0
EWR,2022,7,6.349153976311337,3.817766497461929,752.1,197.0
Manhattan,2022,7,339.0932061933885,6.1798177219761,2263370.9833333334,463583.0
Queens,2022,7,59.36765692021104,14.593849914244922,666874.7816666666,46388.0
Staten Island,2022,7,52.08302611367127,15.382811059907835,3338.07,217.0
Unknown,2022,7,23.43221783704257,6.3903201700100425,273639.9,42821.0
