pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2017,8,18.296074122307235,3.8273221552987136,23511.24,6143.0
Brooklyn,2017,8,699.7007874298383,2.5112429754880847,173328.175,49915.0
EWR,2017,8,10.505350877192985,8.48421052631579,1612.0,190.0
Manhattan,2017,8,18.01144608476605,2.851695440980059,4575174.2525,1896545.0
Queens,2017,8,34.46841731830722,12.504674172937882,2174879.433333333,191088.0
Staten Island,2017,8,15.867741935483872,8.53016129032258,528.87,62.0
Unknown,2017,8,16.49797483921695,3.063947702667285,303949.74,99202.0
