pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2016,6,16.698844129091324,3.74613298237583,32733.71,8738.0
Brooklyn,2016,6,16.908881029425306,3.471694487194665,703809.68,202728.0
EWR,2016,6,3.473790849673202,6.265098039215686,1597.6,255.0
Manhattan,2016,6,15.668961025432791,2.5178903156076085,25299560.46,10047920.0
Queens,2016,6,36.07456394737948,11.074103347252406,7465440.66,674135.0
Staten Island,2016,6,17.610640608034746,3.515276872964169,2158.38,614.0
Unknown,2016,6,16.564034483725937,2.995514922461345,391540.76,130709.0
