pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2020,6,22.113352815341127,10.659358239743296,93013.56,8726.0
Brooklyn,2020,6,25.50703676425459,14.189453139385012,231188.76,16293.0
EWR,2020,6,17.471666666666668,6.666,66.66,10.0
Manhattan,2020,6,97.25016985748495,3.053277016547117,384545.95249999996,117666.0
Queens,2020,6,19.10934632485101,10.046116576798159,169863.215,15857.0
Staten Island,2020,6,63.135946462715104,23.99959847036329,12551.79,523.0
Unknown,2020,6,15.88192316487537,9.541838554767894,41726.46,4373.0
