pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2021,1,21.766305294630037,58.66916590154672,830696.72,14159.0
Brooklyn,2021,1,18.42271709594703,11.93360576371082,292739.745,13065.0
EWR,2021,1,7.550000000000001,7.845555555555555,70.61,9.0
Manhattan,2021,1,75.46577897423003,2.5299152643781877,872693.01,304572.5
Queens,2021,1,18.03419650573424,11.274885221778431,658600.505,35678.0
Staten Island,2021,1,46.569252077562325,27.607119113573408,9966.17,361.0
Unknown,2021,1,27.070185388462008,5.667549213318697,77447.06,13665.0
