pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2019,6,27.739400485068973,6.9482999848415945,91675.87,13194.0
Brooklyn,2019,6,171.35391867849387,5.194992484535365,132749.84666666665,29251.0
EWR,2019,6,16.879009762900978,5.318995815899582,1271.24,239.0
Manhattan,2019,6,102.38561484464205,2.1973398698597317,1691222.4188888888,694452.1111111111
Queens,2019,6,185.55336666065713,10.946318701049242,967917.9833333334,83617.0
Staten Island,2019,6,44.76806853582554,15.91190031152648,5107.72,321.0
Unknown,2019,6,13.199407060623724,2.273719669921306,79529.73999999999,27448.5
