pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2020,9,23.565027737771377,20.58233077292367,257237.97000000003,12498.0
Brooklyn,2020,9,25.552812058583005,30.325301464575126,815811.26,26902.0
EWR,2020,9,7.236111111111111,6.27,37.62,6.0
Manhattan,2020,9,95.34514426137733,1.9105394093661356,691059.2440000001,240633.0
Queens,2020,9,21.37248694607003,13.039026955133886,548629.76,28196.5
Staten Island,2020,9,48.97148318042813,30.270229357798165,6598.91,218.0
Unknown,2020,9,29.056812960554836,5.789731469440833,89046.07,15380.0
