pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2020,7,23.13917104769057,34.267145137063466,365013.63,10652.0
Brooklyn,2020,7,26.31136397221812,19.180615733215117,389385.68,20301.0
EWR,2020,7,8.316666666666666,4.532222222222223,40.790000000000006,9.0
Manhattan,2020,7,105.02141636004413,2.8714669157429564,368167.828,138808.2
Queens,2020,7,26.007346496340155,19.040830108629773,816813.53,42898.0
Staten Island,2020,7,59.6088467614534,28.147677725118484,5939.16,211.0
Unknown,2020,7,15.094064872325742,3.727910282953761,27008.71,7245.0
