pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2020,10,23.120244807479157,31.429796154402197,434799.8,13834
Brooklyn,2020,10,25.03217329946373,18.89746113463167,557947.54,29525
EWR,2020,10,7.51,8.686666666666667,130.3,15
Manhattan,2008,12,883.5166666666667,1.28,1.28,1
Manhattan,2009,1,920.4777777777778,1.03,3.09,3
Manhattan,2020,9,16.683333333333334,4.885555555555555,43.97,9
Manhattan,2020,10,14.462748969639518,2.4933280102685327,3803414.8,1525437
Manhattan,2020,11,18.13125,4.9575,39.66,8
Queens,2009,1,15.0,7.175,14.35,2
Queens,2020,9,15.633333333333333,8.79,8.79,1
Queens,2020,10,29.030609972709428,15.205142382202611,978739.8099999999,64369
Queens,2020,11,251.525,21.365000000000002,42.730000000000004,2
Staten Island,2020,10,49.16509625126647,26.766382978723403,8806.14,329
Unknown,2020,10,29.237404572940285,5.673031179138322,100072.27,17640
