pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2019,10,27.86311913032291,7.134218448475491,73939.04,10364
Brooklyn,2009,1,43.05,5.5,5.5,1
Brooklyn,2019,9,24.283333333333335,14.47,14.47,1
Brooklyn,2019,10,21.861145521271798,4.465709572625804,353286.75,79111
Brooklyn,2019,11,18.083333333333332,4.73,4.73,1
Brooklyn,2020,1,470.75,12.84,12.84,1
EWR,2019,10,5.624291497975709,5.553198380566802,1371.64,247
Manhattan,2008,12,326.2055555555555,3.052,45.78,15
Manhattan,2009,1,93.5810606060606,2.755,60.61,22
Manhattan,2019,9,69.61291079812206,2.8238028169014084,200.49,71
Manhattan,2019,10,17.071940833154304,2.3837677684682195,15534061.04,6516600
Manhattan,2019,11,77.44873188405798,2.09304347826087,192.56,92
Manhattan,2019,12,111.56837606837608,2.6425641025641027,103.06,39
Manhattan,2020,1,113.4047619047619,1.9276190476190478,40.480000000000004,21
Manhattan,2020,2,18.09375,4.58125,36.65,8
Queens,2008,12,34.454166666666666,9.4725,37.89,4
Queens,2009,1,486.56111111111113,15.4,46.2,3
Queens,2019,9,23.93,13.024666666666667,195.37,15
Queens,2019,10,38.02961929851218,11.56479212438042,5632308.19,487022
Queens,2019,11,175.7111111111111,7.89,23.669999999999998,3
Queens,2019,12,239.83333333333334,12.135,24.27,2
Staten Island,2019,10,47.049179292929296,19.33534090909091,5104.53,264
Unknown,2019,10,18.169804981643754,3.227687716054345,160596.83,49756
