pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2022,4,28.315851311658054,96.13286842904893,316373.27,3291
Brooklyn,2022,4,24.610075301577865,44.63418332466374,1201284.41,26914
EWR,2022,4,9.140200286123033,3.8546781115879827,898.14,233
Manhattan,2008,12,1082.2833333333333,1.13,1.13,1
Manhattan,2009,1,732.5833333333333,1.018,5.09,5
Manhattan,2022,3,82.38813559322033,2.861186440677966,168.81,59
Manhattan,2022,4,15.421557165430883,4.485155279483702,14356703.97,3200938
Manhattan,2022,5,13.058854166666666,2.59796875,166.27,64
Queens,2008,12,71.85,23.41,23.41,1
Queens,2022,3,33.03095238095238,13.275,185.85,14
Queens,2022,4,38.06186080567926,14.867826768810314,4199833.97,282478
Queens,2022,5,32.39230769230769,11.324615384615385,147.22,13
Staten Island,2022,4,54.321875,15.516354166666666,2979.14,192
Unknown,2022,4,24.291432453776828,6.303440490569543,271375.72,43052
