pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2020,5,19.733716440147163,57.38600656754539,629122.79,10963
Brooklyn,2008,12,27.766666666666666,3.38,3.38,1
Brooklyn,2020,5,22.926138512600826,34.54749797383351,596773.48,17274
EWR,2020,5,30.708333333333336,14.2325,56.93,4
Manhattan,2009,1,217.10000000000002,1.71,5.13,3
Manhattan,2020,4,701.0916666666667,2.58,10.32,4
Manhattan,2020,5,12.105858699007106,3.7874241283999597,1092099.96,288349
Manhattan,2020,6,5.1,1.29,6.45,5
Manhattan,2020,7,11.066666666666666,3.625,7.25,2
Manhattan,2020,8,12.25,1.16,1.16,1
Manhattan,2020,9,6.222222222222221,1.3633333333333333,4.09,3
Manhattan,2020,10,14.083333333333334,4.01,4.01,1
Manhattan,2020,11,12.233333333333334,3.6133333333333333,10.84,3
Queens,2020,5,22.002668495656152,30.92822496570645,563666.9,18225
Staten Island,2020,5,56.5557418699187,24.509451219512197,8039.1,328
Unknown,2020,5,13.502908507958319,4.625358983167296,13464.42,2911
