pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2009,1,13.6,2.54,2.54,1
Bronx,2018,10,29.09617178040549,7.171357137336734,92790.19,12939
Brooklyn,2008,12,12.95,2.14,4.28,2
Brooklyn,2018,9,17.576666666666664,7.956,39.78,5
Brooklyn,2018,10,22.457706609243935,4.406444097280865,521811.11,118420
Brooklyn,2018,11,14.063333333333333,2.678,13.39,5
EWR,2018,10,11.293395061728395,5.329666666666666,1439.01,270
Manhattan,2008,12,113.70277777777778,4.690416666666667,112.57,24
Manhattan,2009,1,15.403921568627451,2.224705882352941,37.82,17
Manhattan,2018,1,952.3166666666667,2.26,2.26,1
Manhattan,2018,9,55.95416666666666,2.9279347826086957,269.37,92
Manhattan,2018,10,17.198226054592,2.387738961171624,18956906.69,7939271
Manhattan,2018,11,42.81425287356322,2.5410344827586204,368.45,145
Manhattan,2018,12,12.78888888888889,2.0366666666666666,12.219999999999999,6
Manhattan,2019,1,229.6875,1.8375,7.35,4
Manhattan,2019,2,493.65,1.39,1.39,1
Manhattan,2019,3,159.05555555555557,2.4099999999999997,7.2299999999999995,3
Manhattan,2020,8,19.791666666666668,9.505,19.01,2
Queens,2008,12,34.59444444444444,12.201666666666668,73.21000000000001,6
Queens,2009,1,42.96333333333333,10.998000000000001,54.99,5
Queens,2018,9,71.06049382716049,10.395185185185186,280.67,27
Queens,2018,10,39.29512795428988,11.688452248221493,6499761.28,556084
Queens,2018,11,81.26458333333333,11.72875,93.83,8
Staten Island,2018,10,40.48594674556213,13.439289940828404,4542.4800000000005,338
Unknown,2018,9,16.983333333333334,4.995,9.99,2
Unknown,2018,10,17.7457258101759,2.8155519501826585,386127.61,137141
