pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2018,8,23.220553796424564,6.117863645359193,61827.13,10106
Brooklyn,2008,12,0.25833333333333336,0.085,0.17,2
Brooklyn,2009,1,664.85,0.02,0.02,1
Brooklyn,2018,7,8.879166666666666,1.97375,15.79,8
Brooklyn,2018,8,19.995711063715035,4.116803391504428,391833.23,95179
EWR,2018,8,9.75712788259958,7.117358490566038,1131.66,159
Manhattan,2008,12,101.21172839506173,3.4033333333333333,91.89,27
Manhattan,2009,1,118.98492063492064,1.8533333333333335,38.92,21
Manhattan,2018,7,74.84504761904762,2.9313714285714285,512.99,175
Manhattan,2018,8,16.03291341750778,2.3888911170229954,16860134.17,7057724
Manhattan,2018,9,45.77996254681648,2.932696629213483,261.01,89
Manhattan,2018,10,99.88333333333333,2.1782142857142857,60.99,28
Manhattan,2018,11,87.24848484848485,1.450909090909091,15.96,11
Manhattan,2018,12,120.98541666666667,1.75,14.0,8
Manhattan,2019,1,96.09333333333333,1.8359999999999999,18.36,10
Manhattan,2019,2,10.183333333333334,1.65,1.65,1
Manhattan,2019,3,519.0166666666667,9.75,9.75,1
Manhattan,2019,4,114.66250000000001,1.5474999999999999,6.1899999999999995,4
Manhattan,2019,5,10.091666666666667,1.815,3.63,2
Queens,2008,12,205.66190476190476,10.907142857142858,76.35000000000001,7
Queens,2009,1,36.06666666666666,15.09,30.18,2
Queens,2018,7,24.7375,13.516875,216.27,16
Queens,2018,8,36.13233834689104,11.482764449656559,6168655.89,537210
Queens,2018,9,108.7090909090909,12.436363636363637,136.8,11
Queens,2018,11,5.066666666666666,1.33,1.33,1
Queens,2018,12,47.416666666666664,19.45,19.45,1
Queens,2019,3,441.56666666666666,8.86,8.86,1
Staten Island,2018,8,37.60764272559853,14.97,2709.57,181
Unknown,2008,12,474.10833333333335,5.25,10.5,2
Unknown,2018,7,3.933333333333333,0.95,0.95,1
Unknown,2018,8,17.2737687583879,3.05004605718004,299990.33,98356
