pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2019,8,25.373229085729086,6.511855089355089,67046.06,10296
Brooklyn,2019,7,0.5666666666666667,0.34,0.34,1
Brooklyn,2019,8,21.149909982202193,4.4766801950557085,290097.83,64802
Brooklyn,2019,9,13.716666666666665,3.105,6.21,2
Brooklyn,2019,10,23.416666666666668,4.63,4.63,1
EWR,2019,8,5.740464743589744,5.646586538461539,1174.49,208
Manhattan,2002,2,574.3333333333334,2.945,5.89,2
Manhattan,2008,12,350.9055555555555,2.2520000000000002,33.78,15
Manhattan,2009,1,207.18666666666667,2.8085,56.17,20
Manhattan,2019,7,54.08669250645995,3.032325581395349,391.17,129
Manhattan,2019,8,16.379320118657663,2.446167350798639,13228447.4,5407826
Manhattan,2019,9,87.63725490196079,2.7485882352941178,233.63,85
Manhattan,2019,10,123.20573770491804,2.8908196721311477,176.34,61
Manhattan,2019,11,91.32150537634409,1.6216129032258064,50.269999999999996,31
Manhattan,2019,12,85.35291666666667,2.25425,90.17,40
Manhattan,2020,1,74.69404761904762,2.9192857142857145,40.870000000000005,14
Manhattan,2020,2,98.9,2.2800000000000002,22.8,10
Manhattan,2020,3,77.95833333333333,1.5483333333333331,9.29,6
Manhattan,2020,4,167.4425925925926,2.49,22.41,9
Manhattan,2020,5,40.22692307692308,1.6423076923076925,21.35,13
Manhattan,2020,6,89.17666666666666,1.168,5.84,5
Manhattan,2020,7,6.283333333333334,1.3999999999999997,8.399999999999999,6
Queens,2008,12,261.53888888888895,12.526666666666666,37.58,3
Queens,2009,1,16.9,5.04,10.08,2
Queens,2019,7,21.57894736842105,12.022631578947369,228.43,19
Queens,2019,8,36.66535876731412,11.54408646199919,5458413.49,472832
Queens,2019,9,237.61527777777778,10.701666666666666,128.42,12
Queens,2019,10,369.0466666666667,8.712,43.56,5
Queens,2019,11,18.03333333333333,9.059999999999999,18.119999999999997,2
Queens,2019,12,452.28333333333336,20.11,20.11,1
Queens,2020,1,451.4,8.92,8.92,1
Queens,2020,2,268.725,9.385,18.77,2
Queens,2020,3,41.31666666666667,17.52,17.52,1
Queens,2020,4,23.166666666666668,7.64,7.64,1
Staten Island,2019,8,44.804604409857326,19.160038910505836,4924.13,257
Unknown,2019,7,10.383333333333333,3.95,3.95,1
Unknown,2019,8,17.09263861792066,3.299467087963356,155589.67,47156
Unknown,2019,9,11.066666666666666,1.54,1.54,1
