pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2020,8,22.508312108670275,35.839854345749764,450291.93,12564
Brooklyn,2020,7,10.833333333333334,3.2,3.2,1
Brooklyn,2020,8,25.131733900083105,32.30520088282176,790411.35,24467
EWR,2020,8,13.937254901960785,6.314117647058824,107.34,17
Manhattan,2020,7,544.9153846153847,3.9030769230769233,50.74,13
Manhattan,2020,8,13.53882575004892,2.8411021622892125,2502121.7399999998,880687
Queens,2020,8,28.386344001029393,11.609157184610577,631549.76,54401
Queens,2020,9,26.683333333333334,17.64,17.64,1
Staten Island,2020,8,49.991450777202076,28.37658031088083,5476.68,193
Unknown,2020,8,14.67535690332471,4.032433170451279,28057.67,6958
