pickup_borough,year,month,average_trip_duration,average_trip_distance,total_miles,total_trips
Bronx,2019,11,26.40908352347369,6.6780294544700265,64389.56,9642
Brooklyn,2019,10,408.0285714285714,2.7485714285714287,19.240000000000002,7
Brooklyn,2019,11,21.497850977960073,4.353788461809519,308888.23,70947
Brooklyn,2019,12,8.083333333333334,1.02,1.02,1
Brooklyn,2020,1,11.366666666666667,0.93,0.93,1
Brooklyn,2020,2,16.466666666666665,1.6,1.6,1
Brooklyn,2029,11,25.25,9.02,9.02,1
EWR,2019,11,3.0976372924648787,4.7171647509578545,1231.18,261
Manhattan,2008,12,305.5261904761905,1.7557142857142856,12.29,7
Manhattan,2009,1,667.1777777777778,1.68,15.12,9
Manhattan,2019,10,79.33892245720041,2.3256797583081568,769.8,331
Manhattan,2019,11,17.06416981657877,2.3581236409395006,14718096.65,6241444
Manhattan,2019,12,93.88863049095607,2.1937209302325584,282.99,129
Manhattan,2020,1,117.36693548387096,2.524677419354839,156.53,62
Manhattan,2020,2,145.65873015873018,2.820952380952381,59.24,21
Manhattan,2020,3,154.06851851851854,2.836666666666667,25.53,9
Manhattan,2020,4,109.5425925925926,2.4444444444444446,22.0,9
Manhattan,2020,5,106.86333333333332,3.1879999999999997,15.94,5
Manhattan,2020,6,268.8416666666667,9.775,19.55,2
Manhattan,2029,11,9.291666666666668,0.82,1.64,2
Queens,2008,12,623.65,11.035,44.14,4
Queens,2009,1,485.0444444444445,10.413333333333334,31.240000000000002,3
Queens,2019,10,163.96499999999997,13.355,267.1,20
Queens,2019,11,37.1433689361032,11.440822089848027,4964801.95,433955
Queens,2019,12,138.84583333333333,11.2275,44.91,4
Queens,2020,1,13.883333333333333,9.285,18.57,2
Queens,2020,3,27.233333333333334,15.08,15.08,1
Queens,2020,5,2.716666666666667,0.39,0.39,1
Queens,2020,6,162.6,6.6499999999999995,19.95,3
Staten Island,2019,11,41.97119422572178,17.301732283464567,4394.64,254
Unknown,2008,12,38.083333333333336,8.33,8.33,1
Unknown,2019,10,15.683333333333334,2.17,2.17,1
Unknown,2019,11,17.565923269093506,3.0997835117773023,144759.89,46700
Unknown,2019,12,11.266666666666667,2.2,2.2,1
